W_top,W_bot,tsi,Vg
73.43,88.92,18.06,0.57
205.7,238.69,49.88,10.51
113.53,169.66,28.53,29.44
214.57,243.84,17.65,31.43
12.48,127.19,26.02,17.54
17.29,45.94,27.62,37.78
98.4,158.81,26.19,29.15
20.18,111.96,10.51,4.9
20.73,148.96,43.88,17.62
143.71,246.65,44.26,6.74
113.94,219.12,45.59,3.44
66.75,70.95,44.18,11.8
9.96,22.15,35.02,27.61
91.43,109.07,36.18,23.3
19,112.89,46.8,20.28
158.86,173.34,29.96,15.04
95.33,165.75,10.98,29.79
87.07,103.91,44.61,17.72
28.2,43.17,20.39,9.55
36.86,110.41,28.5,34.86
186.2,247.56,27.82,22.73
57.7,66.27,14.34,35.65
143.23,144.13,29.65,1.03
90.87,179.53,46.93,33.39
42.13,51.02,43.94,35.55
15.4,58.52,14.57,3.39
177.51,185.02,34.37,28.93
10.82,14.71,23.68,5.42
5.08,16.6,15.85,21.05
34.64,80.77,42.09,39.73
41.02,225.58,19.63,10.63
16.69,31.63,47.15,24.24
78.74,120.27,39.59,34.48
21.97,48.88,39.81,21.35
13.6,38.45,36.08,0.39
60.61,113.36,31.91,18.26
227,233.7,31.62,12.13
6.36,15.15,37.8,24.82
91.86,105.39,15.39,16.18
22.92,235.75,14.66,30.92
45.1,179.21,28.82,35.53
115.13,242.52,35.45,12.66
37.98,172.45,28.97,19.71
37.01,73.4,27.9,32.93
20.29,54.61,32.98,7.24
148.18,217.62,45.46,26.95
2.35,71.02,44.26,16.65
57.07,79.32,43.36,23.94
32.39,71.24,29.1,18.01
31.66,98.55,11.36,21.67
60.96,106.67,32.82,31.59
10.09,47.33,37.43,0.34
59.09,66.81,41.94,11.69
27.53,113.81,42.75,33.83
157.87,175.35,49.06,6.48
23.68,118,21.49,39.01
98.28,111.64,33.99,2.72
24.39,63.69,42.76,31.89
69.47,109.8,42.08,18.27
234.24,243.49,18.89,14.18
80.81,115.85,36.22,22.19
26.61,87.79,24.86,10.28
20.58,175.13,41.94,35.23
78.93,216.29,18.9,12.56
10.01,12.35,19.18,35.67
41.19,61.42,20.31,4.52
30.26,32.53,44.16,12.8
30.81,174.86,38.95,35.98
125.46,181.17,38.44,0.92
84.91,163.12,34.28,24.41
39.16,243.94,19.65,33.64
13.33,36.27,39.62,2.85
87.06,208.97,20.94,18.98
127.51,172.16,45.07,27.16
41.68,63.27,46.82,26.08
41.45,58.82,10.88,22.03
10.95,16.14,37.9,9.93
57.9,79.45,18.65,1.99
181.33,212.4,47.95,31.8
117.49,191.7,34.45,29.46
29.02,141.5,30.5,0.43
171.24,234.42,28.95,2.01
8.02,74.97,28.08,7.33
20.41,23.42,44.16,3.46
104.13,133.69,36.12,25.67
91.08,107.38,47.28,3.46
122.05,134.88,25.25,15.56
225.05,231.08,40.54,3.52
14.1,18.84,13.55,14.48
23.52,75.37,27.44,23.08
121.01,146.12,23.54,12.5
115.93,221.79,13.39,36.83
166.21,173.51,12.23,16.93
59.3,79.5,36.36,8.29
92.33,118.64,33.66,31.13
66.14,156,30.08,39.37
85.25,154.15,27.97,20.31
63.22,125.73,24.25,36.11
99.24,211,30.76,27.13
15.96,25.22,24.29,30.12
117.75,118.2,10.4,39.25
14.07,174.06,18.51,24.76
93.32,194.68,33.1,9.3
85.13,176.24,10.79,17.46
81.67,191.3,39.77,8.12
11.89,85.79,41.57,34.48
12.35,116.55,23.73,26.65
2.71,18.31,16.11,38.65
31.92,247.42,37.14,31.21
175.66,196.94,34.05,36.08
20.17,181.87,11.7,18.54
42.33,183.64,48.24,25.23
131.16,131.51,15.95,20.93
23.87,100.61,29.94,7.2
91.1,99.76,40.31,7.56
76.35,93.94,21.95,13.74
18.25,18.79,43,30.15
5.91,151.97,18.07,1.28
60.58,149,19.78,23.77
77.02,217.13,32.59,31.87
28.89,97.7,41.27,11.68
72.64,207.96,12.08,31.83
40.84,194.89,21.04,39.3
45.07,107.27,43.8,32.71
0.29,33.52,39.08,22.71
29.8,154.58,42.37,17.95
48.3,195.16,44.39,36.06
2.57,15.34,45.14,14.22
137.92,178.72,44.16,16.04
64.55,118.05,29.97,19.83
18.66,21.05,47.31,33.17
81.41,148.89,17.07,24.18
117.22,138.72,40.82,13.43
42.76,59.75,41.26,31.86
80.14,243.64,39.96,10.4
7.53,35.25,27.11,6.46
5.14,19.37,34.85,15.97
175.95,192.5,14.75,19.05
188.48,206.21,16.71,8.44
55.51,75.88,39.29,33.15
47.95,58.54,17.73,35.72
17.72,203.6,19.27,34.07
25.77,53.74,36.36,36.81
21.68,104.39,22.75,23.97
7.13,10.73,13.93,4.56
46.11,113.08,25.8,8.09
15.39,66.33,37.44,18.08
14.89,145.75,40.06,20.93
1.49,16.82,33.17,18.3
96.44,201.73,46.57,9.97
44.09,86.01,22.99,28.26
97.34,205.44,32.14,33.43
14.64,93.82,39.15,16.11
6.07,30.1,49.5,28.54
37.43,58.32,10.17,29.84
15.05,138.22,40.48,21.77
176.3,223.27,36.13,27.96
139,148.93,11.59,0.15
66.3,210.59,44.52,5
35.72,188.6,21.27,31.18
116.1,119.65,32.67,7.34
6.33,31.62,15.31,3.54
2.71,61.53,16.69,35.32
72.18,124.29,36.73,38.7
114.03,114.44,42.78,17.42
114.83,137.15,26.72,22.55
67.01,134.31,26.55,36.9
28.51,33.65,39.7,2.04
8.51,19.46,32.08,28.41
1.94,69.54,36.64,31.02
122.21,193.67,20.72,3.85
208.69,217.87,24.17,1.27
47.88,67,35.93,35.75
89.72,95.5,15.71,36.64
53.93,152.58,48.12,30.95
77.7,93.07,19.91,9.11
56.23,99.91,21.11,25.58
21.71,133.37,19.07,16.99
12.09,218.92,38.66,17.83
77.06,190.26,16.45,20.05
39.52,148.33,18.85,35.19
29.81,244.11,12.07,25.69
8.92,149.89,12.09,2.05
108.28,164.79,11.1,8.81
142.17,210.09,29.86,10.59
97.01,185.41,17.47,30.36
167.7,181.32,27.13,14.82
120.93,134.06,30.65,13.65
5.39,20,48.86,25.5
24.35,80.89,37.18,27.12
145.12,226.55,44.86,8.77
86.63,92.31,38.11,26.59
5.36,49.73,32.63,7.43
7.02,144.92,33.28,36.3
128.87,134.73,22.95,14.87
127.83,228.75,48.68,28.05
81.25,93.19,44.76,33.84
58.84,197.19,38.8,20.44
107.12,127.75,20.47,25.32
4.89,71.27,26.96,26.69
105.03,154.14,35.9,21.58
155.51,159.37,43.45,11.02
174.14,186.38,41.85,33.19
142.02,194.46,48.03,11.18
81.22,111.26,22.67,14.44
91.38,113,44.62,1.64
58.5,208.1,48.91,11.55
66.78,92.27,31.48,6.54
0.39,144.98,17.34,22.88
193.07,196.12,48.43,35.6
5.29,207.21,12.11,28.87
77.52,93.13,18.3,8.28
1.7,10.78,21.35,21.07
27.33,74.55,14.93,36.36
33.1,247.12,39.16,4.88
45.87,176.01,37.01,30.29
24.3,139.21,47.71,14.94
71.53,83.3,11.49,10.36
89.54,212.61,17.28,0.06
84.29,153.67,36.12,11.86
159.86,233.07,31.96,1.07
37.44,144.82,33.41,17.62
59.87,73.56,29.07,1.57
5.73,124.33,23.77,10.11
65.87,79.27,49.52,38.68
43.75,72.02,35.57,16.41
55.31,97.1,40.62,18.9
70.02,188.44,33.84,25.56
20.15,28.06,17.69,0.14
236.73,239.63,49.97,7.6
88.62,196.41,21.25,29.53
199.03,230.24,20.6,5.08
12.22,163.65,47.93,18.74
109.31,133.57,40.07,20.89
49.55,182.05,38.24,37.94
14.23,55.14,37.73,34.74
233.17,234.26,44.39,16.6
46.32,180.96,49.45,19.74
44.12,175.62,20.81,21.99
18.14,139.07,22.91,34.79
67.84,127.43,12.47,36.13
177.01,182.62,28.71,1.71
18.69,36.96,47.73,12.53
95.84,246.89,44.85,21.57
40.83,69.6,20.48,11.19
161.36,191.88,41.48,33.32
197.13,201.56,47.22,32.84
87.77,88.34,31.64,28.66
47.16,75.35,25.62,14.76
18.12,247.83,32.81,27.65
92.45,151.2,47.85,34.68
44.4,86.71,29.93,35.5
14.17,56.8,45.09,31.67
107.18,140.96,12.35,9.57
96.68,196.45,21.69,25.93
0.05,45.3,47.37,28.89
129,186.42,16.73,39.96
123.19,204.64,31.56,11.13
21.74,66.87,11.92,36.22
50.62,75.69,30.99,17.84
75.97,154.89,13.79,38.34
9.27,74.32,23.81,38.83
0.37,236.99,23.76,20.28
24.24,63.97,21.09,0.52
24.1,44.19,26.05,30.23
27.57,66.81,44.27,6.17
0.55,207.69,13.37,10.79
12.1,138.02,35.31,35.2
138.12,246.65,42.21,20.67
0.07,41.88,20.92,12.53
81.63,161.13,18.18,22.95
92.97,204.84,33.07,25.81
3.19,48.88,41.15,33.04
41.54,214.88,17.37,18.88
144.63,154.26,48.86,5
39.45,91.68,32.94,21.76
109.43,160.3,29.67,28.64
49.89,73.11,27.43,24.88
9.19,140.79,43.74,14.6
120.57,131.77,35.33,34.66
118.72,158.06,20.55,10.25
6.84,127.36,47.42,1.66
143.47,153.16,11.07,27.83
119.24,128.38,22.98,34.33
5.68,130.94,38.8,20.18
3.31,69.56,45.52,20.7
2.17,14.72,14.42,24.37
126.91,249.88,48.91,21.29
185.21,203.43,15.56,13.8
115.58,230.06,45.81,4.07
31.84,143.79,43.66,26.49
44.71,120.48,27.37,36.92
22.6,109.67,43.23,1.42
81.24,189.7,21.84,19.33
41.6,50.02,38.5,3.83
128.85,145.6,12.96,39.23
6.94,17.29,19.5,34.35
77.75,153.12,37.54,39.47
46.04,98.43,14.94,5.04
31.9,214.79,18.33,32.93
49.83,67.4,18.99,31.31
179.23,210.41,44.25,33.55
16.71,73.11,15.1,24.61
204.06,249.47,35.18,2.51
53.58,173.47,32.84,27.63
44.74,96.67,43.15,2.57
14.92,165.4,18.92,11.51
21.91,246.57,16.49,39.07
20.38,35.34,33.47,15.61
58.19,222.06,27.92,39.7
121.51,142.24,30.46,21.74
3.91,76.3,34.65,12.77
9.77,14.82,24.38,34.8
105.61,197.65,36.83,5.93
9.28,113.92,41.35,15.98
68.67,131.73,26.41,32
99.88,217.29,44.93,37.97
2.07,43.03,46.24,16.72
42.79,156.28,45.78,11.99
71.52,173.17,41.62,22.63
48.43,78.01,38.97,30.68
59.68,154.84,17.88,19.37
200.77,209.16,32.87,34.04
8.04,75.8,22.22,24.73
9.73,80.15,30.71,31.15
109.04,124,25.85,26.76
54.03,217.86,26.42,7.27
17.37,23.29,24.99,13.02
12.02,37.75,20,36.11
53.56,128.45,14.79,17.32
162.2,208.19,36.27,9.34
5.41,36.9,15.34,5.08
13.77,56.33,35.89,15.39
4.06,15.96,32.12,32.64
101.66,162.95,37.96,37.63
98.13,162.54,37.42,38.75
14.56,17.05,31.14,35.47
165.79,187.46,45.99,15.97
34.14,232.51,41.17,11.03
10.1,18.88,37.93,30.83
10.54,233.39,42.34,27.16
1.72,22.91,13.64,34.37
94.41,158.21,41.41,22.77
62.45,63.91,42.01,37.41
116.56,141.32,16.64,24.03
17.74,47.36,15.36,8.78
41.68,160.2,20.93,17.79
63.35,99.28,20.89,38.85
55.64,100.08,31.11,9.97
31.52,148.86,15.6,8.41
53.17,226.48,46.26,29.76
23.45,63.14,20.72,14.71
72.94,89.87,29.27,25.73
20.98,120.98,41.11,33.27
15.22,81.21,47.4,5.24
91.69,171.44,15.75,31.79
30.37,192.63,46.22,30.02
44.87,102.85,28.61,37.35
22.17,239.28,36.99,36.2
75.84,165.51,21.44,37.65
3.51,72.53,35.08,17.55
154.35,186.64,31.96,36.22
50.14,133.17,41.25,30.09
111.11,232.67,29.15,4.57
34.54,49.55,23.77,17.92
85.92,209.28,12.36,8.94
30.31,30.92,29.22,23.19
84.66,140.39,31.11,7.2
99.3,179.4,26.3,5.77
12.32,18.77,49.96,32.81
49.2,71.67,37.74,33.03
119.82,236.73,28.19,17.02
63.66,76.58,14.89,31.78
31.28,110.7,41.63,35.69
80.78,194.92,15.33,39.04
79.68,119.86,16.32,32.74
143.14,174.31,23.01,20.32
17.59,61.42,10.7,19.3
50.39,85.96,43.05,17.27
113.8,201.35,13.36,28.86
33.4,138.74,49.95,0.07
57.82,198.13,29.86,36.76
34.89,62.52,36.6,0.59
163.43,182.48,13.92,34.42
93.39,249.03,39.16,4.21
104.43,160.67,25.31,14.25
9.47,19.4,17.64,37.46
186.4,232.95,37,3.34
73.1,192.84,33.81,39.6
31.82,35.06,30.27,2.7
188.81,223.11,26.5,17.12
57.85,87.14,22.78,39.04
85,99.17,37.89,28.02
74.39,172.76,10.32,25.46
39.75,56.38,29.03,12.02
75.47,189.41,14.53,32.55
18.58,31.88,15.18,18.06
162.44,211.38,26.54,20.65
23.74,40.67,48.78,9.13
60.6,71.32,42.92,29.82
117.42,192.92,45.54,25.39
153.66,205.79,21.37,19.19
95.08,105.6,27.59,6.91
85.89,163.3,47.18,14.84
136.19,224.11,26.46,0.63
9.65,19.86,30.06,24.89
3.34,73.89,40.9,3.97
49.58,51.07,14.25,4.57
57.99,180.08,33.59,32.27
29.27,47.32,49.86,33.42
64.44,88.29,37.7,38.07
12.82,15.81,46.31,9.68
13.52,17.88,19.95,4.18
60.31,174.8,49.94,2.76
20.61,42.58,23.91,5.53
17.05,67.26,33.62,34
124.89,134.71,14.24,11.34
24.96,67.99,48.68,12.1
32.7,193.97,11.39,7.18
31.02,61.18,18.86,2.25
76.14,96.3,27.56,12.83
15.24,18.56,10.73,28.6
67.52,103.71,18.32,23.23
29.48,238.36,19.68,17.82
14.81,85.47,35.12,10.53
93.55,117.01,44.1,1.14
94.38,175.36,14.11,37.83
45.92,62.85,29.56,17.2
99.01,99.1,25.75,22.06
12.81,169.43,12.69,25.41
10.93,24.81,19.52,21.27
162.03,227.96,17.99,16.65
31.6,110.51,40.57,32.51
1.04,241.66,43.65,18.44
169.87,171.72,15.2,4.94
90.72,230.89,26.97,38.07
8.97,10.15,42.12,32.57
40.66,104.66,23.82,10.1
3.73,25.47,23.93,37.17
128.83,225.98,14.86,20.58
116.29,234.21,26.36,26.86
19.25,51.59,26.35,2.06
167.18,173.16,29.36,17.72
21.29,236.47,43.19,30.77
23.79,115.14,20.27,33.9
177.94,179.73,38.74,16.66
0.68,72.18,44.76,23.89
85.68,146.01,15.99,25.98
118.92,174.33,10.11,15.25
17.34,188.69,11.2,32.11
30.99,47.89,32.89,16
186.48,201.99,26.66,33.85
103.33,154.76,24.18,7.49
222,237.21,37.46,39.89
24.88,59.43,48.46,29.23
51.91,79.99,15.25,31.75
7.3,145.22,13.48,4.85
149.51,180.85,48.36,31.95
4.88,11.19,39.01,6.81
197.05,242.1,28.31,35.73
9.14,67.69,41.33,22.91
50,92.1,46.8,7.18
76.43,134.92,24.66,8.9
25.1,102.35,18.47,15.6
103.3,162.97,13.74,15.15
28.47,81.3,17.28,39.99
47.85,227.49,42.84,31.97
140.02,173.98,39.07,39.75
140.66,170.25,33.97,8.39
25.77,47.27,30.93,24.25
191.65,231.88,23.24,14.66
13.96,143.53,38.64,25.99
30.48,116.76,38.35,29.2
18.7,102.03,45.31,20.23
34.55,232.6,42.75,28.9
227.03,246.87,42.13,24.94
5.9,178.29,20.43,22.15
4.6,32.56,20.67,35.18
9.21,165,25.26,24.91
12.98,100.47,20.62,17.08
8.83,25.88,23.59,39.51
114.74,170.63,16.35,29.29
16.28,38.67,20.48,24.18
169.38,186.77,13.26,32.17
5.1,16.77,22.32,7.84
18.54,45.52,28.23,27.22
190.98,233.49,25.8,4.77
13.91,197.87,32.76,13.6
11.88,111.77,41.57,28.32
39.31,214.86,10.68,0.73
121.06,234.64,29.94,36.17
200.27,226.74,39.72,38.05
63.92,222.28,47.06,29.67
72.07,154.19,30.18,4.03
60.83,94.34,41.32,35.12
22.65,41.5,25.38,15.38
116.57,245.34,39.79,17.24
35.02,95.88,32.32,18.85
79.59,157.1,37.37,29.19
15.81,144.1,42.12,12.6
17.92,51.54,46.09,7.85
7.63,16.85,33.09,30.88
89.16,126.98,24,39.92
59.44,69.5,20.19,30.85
72.06,116.76,20.02,4.38
210.94,222.99,41.39,35.9
6.17,185.66,48.06,28.15
128.5,155.66,28.67,7.49
13.14,56.58,15.25,3.34
22.36,212.68,11.72,9.54
39.08,46.44,27.17,27.95
74.66,177.18,15.72,11.27
115.82,145.79,26.32,10.26
40.84,91.65,40.77,7.17
2.97,18.66,35.95,35.97
27.23,33.89,24.84,32.26
53.59,78.89,30.72,8.67
21.16,242.63,11.87,19.42
138.41,197.65,17.07,12.91
45.89,237.03,40.18,29.94
1.69,52.72,37.11,36.65
19.71,20.9,44.82,24.94
1.87,106.61,31.63,22.13
88.27,108.61,34.6,23.89
25.89,119.18,45.17,24.31
81.07,202.94,10.22,8.71
77.6,157.04,48.81,2.71
15.23,22.18,43.94,37.85
83.34,153.19,44.67,16.31
31.02,140.06,21.05,0.74
52.39,143.45,38.76,16.1
46.81,52.25,15.5,31.56
60.38,84.28,21.87,10.75
21.75,70.7,29.68,23.98
9.85,56.24,29.53,15.65
122.86,159.63,15.92,19.9
42.28,102.81,20.1,6.17
170.13,207.56,22.83,4.59
94.8,195.76,46.49,11.1
65.77,227.76,42.25,30.22
40.07,80.27,14.44,15.25
14.13,81.5,14.92,29.47
9.28,166.65,18.38,29.96
111.12,244.54,31.33,14.16
218.71,220.11,10.57,15.89
57.07,112.5,14.23,10.21
92.93,109.11,20.4,19.57
63.35,134.88,23.89,29.77
81.13,101.3,22.7,6.75
89.29,173.22,12.69,17.72
32.59,126.58,45.57,9.94
95.19,114.97,15.43,39.18
66.48,217.87,43.16,34.91
109.35,150.95,12.34,11.09
1.65,10.14,26.12,6.86
23.93,176.42,11.32,2.92
73.66,211.53,49.56,1.36
96.34,163.27,43,0.44
5.54,16.76,41.17,20.37
9.86,19.57,12.62,30.96
30.68,67.35,36.19,36.27
12.61,16.07,13.75,17.74
18.09,57.13,16.1,39.31
103.87,146.35,40.44,18.63
5.3,17.43,40.86,19.33
28.84,42.8,32.94,36.12
6.15,192.27,36.5,1.44
25.05,59.57,42.47,25.31
9.71,30.34,18.48,17.63
15.99,25.25,12.16,20.08
13.05,61.1,32.69,38.9
75.13,86.92,40.22,36.85
77.74,109.58,37.58,9.93
79.64,83.87,15.77,16.08
92.99,243.65,47.61,20.87
88.86,100.18,22.03,39.71
12.47,234.52,35.49,15.33
16.25,114.97,47.7,9.38
202.17,230.74,39.33,9.5
18.68,36,41.53,0.21
15.21,26.29,33.14,38.62
55.01,108.17,20.32,21.89
17.02,106.02,41.32,24.01
57.34,188.49,38.16,14.36
50.01,219.8,31.7,22.33
28.24,43.04,17.68,13.83
1.68,138.95,38.8,34.7
7.11,120.49,36.83,2.52
65.19,69.25,23.63,39.72
99.08,110.39,11.47,17.2
50.69,86.24,12.16,22.22
7.7,140.63,41.39,32.26
59.7,60.03,11.51,30.44
12.27,42.56,22.56,26.49
121.2,163.57,19.49,36.85
7.61,202.92,20.99,8
32.81,64.48,43.04,29.4
30.69,65.72,18.41,32.9
131.13,204.64,19.92,15.4
1.08,31.54,19.65,24.23
140.44,222.69,32.62,27.43
31.92,104.54,46.43,0.41
28.34,145.43,34.92,1.64
61.57,156.45,43.8,27.43
60.25,206.01,38.66,24.33
9.13,70.05,40.67,21.17
87.57,198.17,17.35,29.59
122.21,188.09,15.22,12.06
89.68,180.49,38.11,34.05
138.29,165.64,14.66,4.07
21.58,210.73,43.57,27.42
59.42,73.84,32.17,29.36
127.42,135.65,46.78,5.66
10.57,98.31,49.69,31.41
21.03,179.07,34.74,13.29
134.31,227,49.3,29.98
42.35,243,24.43,32.68
42.65,55.57,28.9,34.2
22.08,227.77,14.32,3.14
64.17,82.86,32.17,31.86
11.01,188,33.42,37.79
108.11,193.42,40.84,16.04
98.02,127.78,15.2,2.04
44.85,124.87,26.14,15.43
130.98,194,47.33,16.66
21.84,113.33,23.64,31.05
17.88,80.6,33.09,27.92
21.98,26.15,38.3,32.17
23.05,170.05,25.27,24.72
122.29,135.84,21.35,25.57
58.5,69.49,42.76,3.15
12.86,42.71,12.41,32.75
108.03,123.29,48.85,37.93
69.42,85.15,36.94,1.16
9.46,25.53,25.5,17.24
94.73,223.61,33.82,5.58
33.44,53.93,27.67,5.93
50.45,50.7,19.03,34.38
6.55,59.9,33.38,5.52
20,77.8,33.74,11.22
52.21,94.46,37.38,26.88
22.4,45.4,22.29,22.99
8.07,185.41,31.49,11.63
87.78,204.12,39.56,36.52
26.69,32.84,36.1,17.4
205.17,211.08,16.11,28.86
87.79,112.48,25.66,25.65
4.18,217.62,22.24,25
65.24,87.92,14.31,5.58
6.65,47.26,48.35,17.39
34.53,114.7,31.42,0.29
91.01,237.47,40.48,26.64
142.89,206.52,33.85,2.76
87.93,97.6,40.63,21.37
45.09,108.47,16.66,9.97
22.08,120.17,37.71,16.65
52.91,70.4,23.78,31.94
7.61,38.28,21.01,17.14
1.91,28.61,42.26,29.92
48.3,207.24,42.34,33.96
26.86,48.42,14.86,10.41
9.24,57.4,38.03,13.44
39.82,81.73,27.22,39.52
101.19,116.38,49.43,7
127.38,132.78,38.38,4.21
82.41,147.86,19.39,14.2
90.26,180.8,37.26,14.5
82.49,247.37,40.06,21.73
49.12,52.73,48.01,24.68
26.61,27.85,42.52,20.8
82.99,133.15,37.28,34.18
8.22,195.35,42.87,29.33
148.71,222.6,49.71,18.02
109.56,231.26,48.29,23.59
18.83,30.23,46.21,32.66
208.21,223.59,38.57,27.46
55.15,91.58,29.28,18.74
136.69,184.7,37.7,20.44
8.59,31.97,46.82,28.72
20.74,161.96,44.74,28.67
66.11,118.84,23.56,7.53
100.39,166.93,32.12,1.04
21.38,132.63,25.2,4.39
93.96,174.11,29.45,1.81
109.27,120.21,22.02,11.59
164.25,192.14,16.65,13.17
18.25,179.36,15.74,22.48
128.51,219.47,33.71,37.45
128.23,144.8,26.2,39.87
8.68,14.1,39.32,23.56
53.25,97.64,45.24,34.08
59.42,91.89,31.45,21.48
85.77,95.62,15.97,14.59
2.62,241.28,36.74,39.25
14.65,235.26,37.93,38.39
126.53,211.56,18.63,9.82
42.82,54.37,44.54,25.11
12.24,24.96,17.27,4.68
51.83,92.21,39.56,8.22
60.54,226.02,21.09,30.64
115.58,179.22,47.02,36.83
0.78,53.53,32.58,39.77
15.96,204.41,36.63,30.32
128.79,220.88,28.77,26.12
19.07,185.69,33.6,22.91
13.68,14.56,11.62,11.34
87.28,140.2,26.91,17.65
10.26,119.32,34.56,33.3
10.32,65.97,10.35,3.3
73.47,82.32,24.39,29.86
34.86,225.93,32.91,1.89
21.56,55.41,23.79,4.3
4.78,35.61,46.04,36.48
144.35,146.4,48.74,22.43
63.19,123.12,43.32,30.03
192.93,248.45,20.36,8.56
47,85.36,22.59,24.12
18.99,42.33,42.41,32.82
51.97,163.49,21.52,31.99
116.61,200.41,26.41,19.38
160.17,164.88,47.93,0.42
137.05,165.77,41.53,36.46
106.02,167.33,41.22,35.57
125.73,189.69,24.66,15.39
193.23,248.27,14.45,39.57
32.29,42.4,32.79,35
32.49,88.58,14.54,9.29
1.63,34.53,32.3,31.02
116.7,154.67,10.52,29.24
194.34,202.88,31.93,7.81
134.14,193.12,15.79,28.69
64.39,163.53,25.68,39.41
181.07,209.57,37.6,8.56
38.37,120.03,40.13,33.9
30.72,41.15,36.66,25.78
17.3,135.17,28.29,14.56
50.97,57.29,44.57,27.77
62.8,74.56,40.04,15.07
124.09,128.69,13.96,22.11
41.96,58.29,32.12,5.7
188.45,239.65,31.87,22.87
138.92,214.29,42.85,36.93
10.06,49.19,11.7,9.87
138.67,162.78,39.99,32.81
57.84,182.34,42.41,7.85
34.81,103.65,22.16,27.43
52.1,221.21,48.17,1.76
91.19,95.7,44.82,30.47
116.95,185.78,42.63,30.19
7.51,53.77,27.5,18.41
91.78,215.53,22.66,29.7
17.03,63.03,14.79,33.93
43.15,105.34,15.17,30.26
4.49,132.63,46.33,39.07
4.69,142.58,28.02,26.34
17.59,22.93,46.82,29.41
45.06,188.2,39.28,0.5
3.45,18.83,44.67,15.37
64.25,159.16,27.85,23.05
4.21,55.31,46.45,11.58
8.67,12.94,25.52,1.56
7.11,124.3,21.87,1.39
64.18,145.17,15.4,7.85
71.81,180.91,43.26,14.83
156.89,222.64,17.76,35.18
126.17,160.99,21.91,26.32
90.36,126.28,45.14,24.14
7.6,15.35,38.79,3.46
7.93,49.56,16.42,27.91
119.08,162.04,26.27,35.52
53.2,121.9,11.03,31.09
63.57,159.42,18.11,37.1
66.12,234.05,47.09,25.94
109.46,137.31,35.54,27.85
48.87,112.02,23.38,32.89
186.66,242.34,49.64,19.16
43.39,229.16,17.53,24.99
24.55,162.63,13.65,16.39
25.54,65.65,46.26,34.81
49.03,182.83,27,15.78
2.95,196.48,32.37,27.52
24.34,25.96,23.42,28.1
122.38,195.11,38.82,12.26
100.17,230.04,14.99,0.75
14.15,60.07,40.09,38.71
89.23,174.16,32.41,38.51
13.31,39.91,28.47,29.38
113.76,163.88,27.44,39.49
44.55,51.81,10.7,7.36
136.36,177.02,47.62,29.65
4.96,70.69,41.66,12.92
7.4,153.75,32.86,13.56
13.04,43.2,41.46,35.35
102.09,169.19,17.93,19.7
198.36,248.22,38.52,3.75
30.09,40.72,38.62,30.63
27.43,87.36,32.03,33.8
29.4,207.56,28.17,15.67
185.11,244,15.72,38.71
20.99,220.88,37.6,22.99
24.3,113.64,14.71,8.97
27.85,156.2,41.11,4.97
11.97,13.54,44.69,33.23
36.77,48.58,18.84,18.21
9.89,14.08,30.61,26.52
21.59,29.48,24.69,18.96
18.71,107.11,45.36,13.62
21.03,22.23,13.93,29.58
32.54,61.71,39.89,6.06
11.42,51.69,31.85,2.64
51.95,155.74,44.4,5.77
20.71,120.04,13.94,14.01
84.52,109.62,34.16,14.78
14.67,22.74,46.22,39.14
31.4,124.52,13.85,22.9
200.42,227.48,48.5,10.43
26.62,73.25,12.22,26.88
3.28,107.67,15.28,19.73
182.89,184.85,39.14,12.6
100.38,128.84,43.72,11.47
3.8,137.68,10.81,13.17
38.14,103.66,23.24,37.9
94.28,229.39,26.41,8.25
16.24,140.41,46.88,5.2
34.56,229.9,27.33,27.32
162.65,247.36,24.81,39.87
232.24,234.26,19.35,19.15
222.92,233.42,34.74,32
33.84,200.89,23.01,1.19
71.59,103,10.24,23.25
93.39,151,34.29,25.98
58.57,192.11,28.9,17.08
26.52,84.1,15.94,18.81
72.17,77.18,15.29,25.56
33.18,127.35,36.95,29.99
149.81,203.24,20.8,38.32
29.08,156.01,21.45,26.72
11.59,42.12,49.94,9.56
35.72,106.03,24.09,29.08
110.29,203.63,40.59,37.37
128.15,245.69,38.05,3.96
127.99,198.93,46.97,30.24
57.32,73.39,46,13.85
148.07,178.8,11.11,24.75
39.75,58.6,15.02,35.67
21.35,25.93,48.74,26.63
41.23,108.14,15.31,24.06
33.13,206.67,17.78,5.22
16.75,58.42,30.68,28.07
44.15,197.47,35.96,10.33
58.12,119.23,49.35,3.95
25.4,110.68,22.33,26.05
28.95,208.06,43.82,21.33
41.64,47.84,17.8,16.56
11.13,29.67,42.02,2.6
155.43,229.74,28.31,3.3
65.87,161.71,33.02,11.25
6.24,94.29,49.48,30.38
180.93,200.33,18.06,37.33
19.11,47.69,45.85,16.63
137.95,184.32,19.94,35.16
92.49,119.54,16.61,19.49
25.07,53,42.58,25.21
136.75,207.83,42.3,6.32
84.51,112.34,35.49,30.7
233.74,238.96,12.78,6.64
11.27,129.78,33.1,22.61
75.08,84.83,44.59,27.73
53.99,113.78,48.7,20.44
76.39,230.13,31.4,37.06
78.31,183.83,43.97,38.85
74.88,108.04,13.61,5.52
9.15,10.73,34.8,17.65
31.67,169.01,36.06,29.38
28.95,39.88,35.73,35.21
30.43,69.2,32.08,8.11
84.57,112.81,33.97,1.99
77.52,128.35,19.67,26.2
89.53,231.06,13.51,36.52
